Location,Date,Species,Condition,Number,Source
Jicaron-Jicarita,03/11/98,Porites lobata,Affected,65,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Gardineroseris planulata,Affected,8,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pavona varians,Affected,0,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pavona clavus,Affected,14,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pavona gigantea,Affected,24,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pocillopora damicornis,Affected,23,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pocillopora elegans,Affected,31,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Porites panamensis,Affected,10,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Psammocora superficialis,Affected,24,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Porites panamensis,Affected,0,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Porites lobata,Affected,31,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pocillopora elegans,Affected,24,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pocillopora damicornis,Affected,6,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pavona gigantea,Affected,25,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pavona clavus,Affected,11,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Psammocora superficialis,Affected,20,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Gardineroseris planulata,Affected,15,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pavona varians,Affected,10,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Porites lobata,Healthy,95,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Gardineroseris planulata,Healthy,154,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pavona varians,Healthy,0,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pavona clavus,Healthy,176,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pavona gigantea,Healthy,13,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pocillopora damicornis,Healthy,85,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Pocillopora elegans,Healthy,109,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Porites panamensis,Healthy,0,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Jicaron-Jicarita,03/11/98,Psammocora superficialis,Healthy,20,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Porites panamensis,Healthy,60,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Porites lobata,Healthy,22,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pocillopora elegans,Healthy,4,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pocillopora damicornis,Healthy,4,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pavona gigantea,Healthy,3,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pavona clavus,Healthy,3,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Psammocora superficialis,Healthy,4,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Gardineroseris planulata,Healthy,60,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
Silva de Afuera,10/16/97,Pavona varians,Healthy,30,"From PWG 1998 notebook.  Lumped ""pale"" into the normal column.  There is a potentail extra set of pale (14), but they are not in the written n.  Included and increased the n."
